,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
36,2006,PARK TOWN,. RAHMANKHAN A.,N,DMK,M,62,GEN,27957,117016,72915,72915,0.6231199152252683,N
37,2006,PARK TOWN,". BALASUBRAMANIAN, K.",N,DMDK,M,25,GEN,5300,117016,72915,72915,0.6231199152252683,N
37,2006,PARK TOWN,". BALASUBRAMANIAN, K.",N,DMDK,M,25,GEN,5300,117016,72915,72915,0.6231199152252683,N
38,2006,PARK TOWN,". KANTILAL, C.",N,BJP,M,47,GEN,3621,117016,72915,72915,0.6231199152252683,N
39,2006,PARK TOWN,". HARIKRISHNAN, S.",N,BSP,M,35,SC,446,117016,72915,72915,0.6231199152252683,N
39,2006,PARK TOWN,". HARIKRISHNAN, S.",N,BSP,M,35,SC,446,117016,72915,72915,0.6231199152252683,N
40,2006,PARK TOWN,". SRINIVASAMOORTHY, C.R.",N,TNJC,M,43,GEN,278,117016,72915,72915,0.6231199152252683,N
41,2006,PARK TOWN,". VENKATESAN, P.",N,IND,M,37,SC,237,117016,72915,72915,0.6231199152252683,W
41,2006,PARK TOWN,". VENKATESAN, P.",N,IND,M,37,SC,237,117016,72915,72915,0.6231199152252683,N
42,2006,PARK TOWN,". VIJAYARAGAVAN, M.",N,IND,M,41,GEN,141,117016,72915,72915,0.6231199152252683,N
43,2006,PARK TOWN,". PANNEERSELVAM, C.",N,IND,M,41,SC,129,117016,72915,72915,0.6231199152252683,N
44,2006,PARK TOWN,". NAGARAJAN, R.R.",N,IND,M,34,SC,117,117016,72915,72915,0.6231199152252683,N
45,2006,PARK TOWN,". YUVAKUMAR, P.N.",N,IND,M,32,GEN,85,117016,72915,72915,0.6231199152252683,N
46,2006,PARK TOWN,". KARUNAKARAN, D.",N,IND,M,34,GEN,84,117016,72915,72915,0.6231199152252683,N
47,2006,PARK TOWN,". SRINIVASAN, K.P.",N,IND,M,36,GEN,82,117016,72915,72915,0.6231199152252683,N
47,2006,PARK TOWN,". SRINIVASAN, K.P.",N,IND,M,36,GEN,82,117016,72915,72915,0.6231199152252683,N
48,2006,PARK TOWN,. DURAI N.P.,N,IND,M,40,GEN,78,117016,72915,72915,0.6231199152252683,N
48,2006,PARK TOWN,. DURAI N.P.,N,IND,M,40,GEN,78,117016,72915,72915,0.6231199152252683,N
49,2006,PARK TOWN,". SENTHILKUMARAN, S.",N,IND,M,26,GEN,46,117016,72915,72915,0.6231199152252683,N
