YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2016,GUMMIDIPUNDI,VIJAYAKUMAR  K S,W,ADMK,M,45,GEN,89332,260912,214354,214348
2016,GUMMIDIPUNDI,SEKAR C H,N,DMK,M,37,GEN,65937,260912,214354,214348
2016,GUMMIDIPUNDI,SELVARAJ M,N,PMK,M,44,GEN,43055,260912,214354,214348
2016,GUMMIDIPUNDI,GEETHA K,N,DMDK,F,33,GEN,6585,260912,214354,214348
2016,GUMMIDIPUNDI,BHASKARAN M,N,BJP,M,53,GEN,2092,260912,214354,214348
2016,GUMMIDIPUNDI,MURALI KRISHNA M (A) SAMARAN,N,BSP,M,29,SC,1282,260912,214354,214348
2016,GUMMIDIPUNDI,SURESHKUMAR S,N,NTK,M,48,GEN,1250,260912,214354,214348
2016,GUMMIDIPUNDI,MURUGAN M,N,IND,M,47,GEN,875,260912,214354,214348
2016,GUMMIDIPUNDI,KANDAVEL  R,N,YSP,M,40,GEN,645,260912,214354,214348
2016,GUMMIDIPUNDI,KARUNAKARAN A,N,IND,M,42,GEN,554,260912,214354,214348
2016,GUMMIDIPUNDI,ARULVEL SELVAN C,N,IND,M,38,GEN,550,260912,214354,214348
2016,GUMMIDIPUNDI,PANDIYAN A,N,IND,M,46,GEN,231,260912,214354,214348
2016,GUMMIDIPUNDI,GANAPATHY R,N,IND,M,42,GEN,164,260912,214354,214348
2016,GUMMIDIPUNDI,SARAVANAN T,N,IND,M,29,GEN,163,260912,214354,214348
2016,GUMMIDIPUNDI,KANTHARAJ V C,N,GOKMK,M,42,GEN,149,260912,214354,214348
2016,PONNERI,BALARAMAN P,W,ADMK,M,55,SC,95979,250403,197788,197648
2016,PONNERI,PARIMALAM K DOCTOR,N,DMK,F,54,SC,76643,250403,197788,197648
2016,PONNERI,PANDIAN A,N,PMK,M,50,SC,9586,250403,197788,197648
2016,PONNERI,SENTHIL KUMAR V,N,VCK,M,40,SC,5566,250403,197788,197648
