YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2006,PERAMBUR,. DEIVA. SWARUP CHANDRAN,N,IND,M,59,SC,412,268704,182627,182379
2006,PERAMBUR,". BASKAR, E.",N,IND,M,38,SC,225,268704,182627,182379
2006,PERAMBUR,". KOTEESWARAN, MUNU.",N,IND,M,33,SC,165,268704,182627,182379
2006,PERAMBUR,. SAMYDOSS,N,IND,M,39,SC,156,268704,182627,182379
2006,PURASAWALKAM,". BABU, V.S.",W,DMK,M,55,GEN,90168,294352,191680,191680
2006,PURASAWALKAM,. VENKATESHBABU,N,AIADMK,M,46,GEN,82783,294352,191680,191680
2006,PURASAWALKAM,. JACQUELENE GOMEZ,N,DMDK,F,29,GEN,12691,294352,191680,191680
2006,PURASAWALKAM,". ELUMALAI, V.",N,BJP,M,43,GEN,2019,294352,191680,191680
2006,PURASAWALKAM,". KAMALAAKANNAN, J.",N,SP,M,57,GEN,769,294352,191680,191680
2006,PURASAWALKAM,". RAJA, K.",N,IND,M,32,GEN,603,294352,191680,191680
2006,PURASAWALKAM,". PRATHABAN, S.",N,IND,M,41,SC,552,294352,191680,191680
2006,PURASAWALKAM,". VENKATESAN, G.",N,IND,M,54,GEN,408,294352,191680,191680
2006,PURASAWALKAM,". BALACHANDAR, V.G.",N,IND,M,47,GEN,348,294352,191680,191680
2006,PURASAWALKAM,". SATHIYASEELAN, N.",N,IND,M,58,GEN,184,294352,191680,191680
2006,PURASAWALKAM,". BABU, M.R.S.",N,IND,M,49,SC,161,294352,191680,191680
2006,PURASAWALKAM,". VASANTHA KUMARI, A.",N,LJP,F,36,GEN,147,294352,191680,191680
2006,PURASAWALKAM,". SENTHIL VADIVELAN, S.P.",N,IND,M,31,GEN,139,294352,191680,191680
2006,PURASAWALKAM,". BASKAR, B.",N,IND,M,29,GEN,137,294352,191680,191680
2006,PURASAWALKAM,". SATHISH KUMAR, V.",N,IND,M,40,GEN,128,294352,191680,191680
2006,PURASAWALKAM,. GIRIJA,N,TNJC,F,49,GEN,121,294352,191680,191680
2006,PURASAWALKAM,". AYYAVOO, V.",N,IND,M,50,GEN,101,294352,191680,191680
2006,PURASAWALKAM,". SUGUMAR, P.",N,IND,M,44,GEN,77,294352,191680,191680
2006,PURASAWALKAM,". KUMARAN, K.",N,IND,M,35,SC,72,294352,191680,191680
