YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2011,GUMMIDIPUNDI,1 SEKAR  C  H,W,DMDK,M,31,GEN,97708,215443,179722,179616
2011,GUMMIDIPUNDI,2 SEKAR  K  N,N,PMK,M,40,GEN,68452,215443,179722,179616
2011,GUMMIDIPUNDI,3 SELVAKUMAR  R,N,IND,M,27,SC,1892,215443,179722,179616
2011,GUMMIDIPUNDI,4 CHAKRAVARTHI SRIRAMAN B,N,BJP,M,36,GEN,1883,215443,179722,179616
2011,GUMMIDIPUNDI,5 MUNIKRISHNAN  G,N,JMM,M,43,GEN,1836,215443,179722,179616
2011,GUMMIDIPUNDI,6 VELU  N,N,IND,M,36,GEN,1462,215443,179722,179616
2011,GUMMIDIPUNDI,7 ASOKAN  G,N,PB,M,51,SC,1425,215443,179722,179616
2011,GUMMIDIPUNDI,8 RAJA  A,N,IND,M,39,SC,1411,215443,179722,179616
2011,GUMMIDIPUNDI,9 SUDHAKAR  M,N,RPI,M,28,GEN,1228,215443,179722,179616
2011,GUMMIDIPUNDI,10  SHANMUGAM  P,N,IND,M,30,GEN,997,215443,179722,179616
2011,GUMMIDIPUNDI,SRINIVASAN  D,N,BSP,M,45,SC,835,215443,179722,179616
2011,GUMMIDIPUNDI,12  ELUMALAI  S,N,IND,M,40,GEN,487,215443,179722,179616
2011,PONNERI,1 PON. RAJA,W,AIADMK,M,36,SC,93624,202449,162888,162835
2011,PONNERI,"2 MANIMEKALAI, A.",N,DMK,F,42,SC,62354,202449,162888,162835
2011,PONNERI,"3 RAJA, S.",N,BSP,M,30,SC,1347,202449,162888,162835
2011,PONNERI,"4 GANESAN, K.",N,BJP,M,46,SC,1335,202449,162888,162835
2011,PONNERI,"5 JAYAKANTHAN,S.",N,IND,M,29,SC,1167,202449,162888,162835
2011,PONNERI,"6 PRABAKARAN, N.",N,PB,M,38,SC,754,202449,162888,162835
2011,PONNERI,"7 RAGUPATHI,K.",N,IND,M,43,SC,637,202449,162888,162835
2011,PONNERI,"8 PALANI,E.",N,IND,M,43,SC,636,202449,162888,162835
2011,PONNERI,"9 DEVENDIRAN, M.",N,IND,M,44,SC,420,202449,162888,162835
2011,PONNERI,"10  RAGHUPATHI,S.",N,IND,M,41,SC,319,202449,162888,162835
2011,PONNERI,"KANNIMUTHU,J.S.",N,IND,M,43,SC,242,202449,162888,162835
2011,TIRUTTANI,1 ARUNSUBRAMANIAN. M,W,DMDK,M,56,GEN,95918,236733,191251,191237
2011,TIRUTTANI,2 RAMAN.E.S.S.,N,INC,M,56,GEN,71988,236733,191251,191237
2011,TIRUTTANI,3 SUBRAMANI.A.K,N,JMM,M,48,GEN,9760,236733,191251,191237
2011,TIRUTTANI,4 RAMBAI.S,N,IND,F,38,GEN,3232,236733,191251,191237
2011,TIRUTTANI,5 DASS.D,N,BSP,M,40,SC,1859,236733,191251,191237
2011,TIRUTTANI,6 RAMESHKUMAR.M,N,IND,M,41,SC,1524,236733,191251,191237
2011,TIRUTTANI,7 BABU.J.,N,BJP,M,56,SC,1450,236733,191251,191237
2011,TIRUTTANI,8 RAMESH.J,N,PB,M,30,SC,1296,236733,191251,191237
2011,TIRUTTANI,9 SURESHBABU.N.D.,N,IND,M,33,GEN,1242,236733,191251,191237
2011,TIRUTTANI,10  THANIGAIMALAI. M.D.,N,IJK,M,40,GEN,1135,236733,191251,191237
2011,TIRUTTANI,CHINNAPPAN.M.,N,IND,M,40,SC,710,236733,191251,191237
2011,TIRUTTANI,12  SHETTU,N,IND,M,38,SC,591,236733,191251,191237
2011,TIRUTTANI,13  SHANMUGAM.M.,N,IND,M,46,GEN,532,236733,191251,191237
2011,TIRUVALLUR,RAMANA B.V,W,AIADMK,M,43,GEN,91337,207935,170669,170115
2011,TIRUVALLUR,SHIAJI E.A.P,N,DMK,M,65,GEN,67689,207935,170669,170115
2011,TIRUVALLUR,JAMES E,N,PB,M,42,GEN,2220,207935,170669,170115
2011,TIRUVALLUR,JANAKIRAMAN R.M.R,N,BJP,M,54,GEN,1869,207935,170669,170115
2011,TIRUVALLUR,DEIVASIGAMANI T.A,N,RJD,M,62,GEN,1080,207935,170669,170115
2011,TIRUVALLUR,SHANTHAKUMAR V,N,BSP,M,42,GEN,1039,207935,170669,170115
2011,TIRUVALLUR,BADRACHALAM U,N,IND,M,65,GEN,651,207935,170669,170115
2011,TIRUVALLUR,DINAKARAN C,N,IND,M,29,GEN,496,207935,170669,170115
2011,TIRUVALLUR,RAGAVAN G,N,IND,M,52,GEN,478,207935,170669,170115
2011,TIRUVALLUR,SARAVANAN P,N,IND,M,39,GEN,423,207935,170669,170115
2011,TIRUVALLUR,JEGAN N,N,IND,M,29,GEN,415,207935,170669,170115
2011,TIRUVALLUR,SRINIVASHAN C.J,N,IND,M,35,GEN,381,207935,170669,170115
2011,TIRUVALLUR,JAYAKUMAR D,N,IND,M,31,GEN,297,207935,170669,170115
2011,TIRUVALLUR,JAYAVEL G,N,IND,M,66,GEN,261,207935,170669,170115
2011,TIRUVALLUR,DEVASHEERVATHAM S,N,RPI,M,56,GEN,238,207935,170669,170115
2011,TIRUVALLUR,SUBRAMANIAN C,N,IND,M,70,GEN,231,207935,170669,170115
2011,TIRUVALLUR,RAMAN V.M,N,IND,M,42,GEN,227,207935,170669,170115
2011,TIRUVALLUR,RAMESH P,N,IND,M,36,GEN,216,207935,170669,170115
2011,TIRUVALLUR,ELANGOVAN D,N,IND,M,37,GEN,202,207935,170669,170115
2011,TIRUVALLUR,SAKTHIDASAN R,N,IND,M,29,GEN,133,207935,170669,170115
2011,TIRUVALLUR,SASIKUMAR E.D,N,IND,M,39,GEN,120,207935,170669,170115
2011,TIRUVALLUR,GOPAL P,N,IND,M,39,GEN,112,207935,170669,170115
2011,POONMALLAE,1 MANIMARAN R,W,AIADMK,M,46,SC,99097,229460,181733,181531
2011,POONMALLAE,2 KANCHI GV MATHIAZHAGAN,N,INC,M,47,SC,57678,229460,181733,181531
2011,POONMALLAE,3 JAGANMOORTHY.M,N,PB,M,45,SC,21118,229460,181733,181531
2011,POONMALLAE,4 MURALI.K,N,IND,M,42,SC,2022,229460,181733,181531
2011,POONMALLAE,5 THEINMATHI.P,N,IJK,F,49,SC,1616,229460,181733,181531
2011,AVADI,ABDUL RAHIM.S,W,AIADMK,M,41,GEN,110102,277885,199814,199538
2011,AVADI,DHAMOTHARAN.R,N,INC,M,61,GEN,66864,277885,199814,199538
2011,AVADI,JAYARAMAN.B.,N,IND,M,51,GEN,10460,277885,199814,199538
2011,AVADI,LOGANATHAN.J,N,BJP,M,43,GEN,3795,277885,199814,199538
2011,AVADI,SATHYAMURTHI.C,N,BSP,M,31,GEN,1658,277885,199814,199538
2011,AVADI,BAKTHAVACHALU.D.,N,JMM,M,54,GEN,1336,277885,199814,199538
2011,AVADI,JAYARAMU. L,N,IND,F,28,GEN,1114,277885,199814,199538
2011,AVADI,JAYARAMAN. V,N,IND,M,67,GEN,828,277885,199814,199538
2011,AVADI,RAVIARUMUGAM B,N,IND,M,35,GEN,585,277885,199814,199538
